resolution,bin_seconds,snapshots,algorithm,result,status,time_ms,peak_mb
1 hour,3600,3313,span_core,max core = 0,ok,3.0221660272218287,34.453125
1 hour,3600,3313,dense_core,0 nodes,ok,184.907375019975,34.6875
1 hour,3600,3313,stable_core,912 cores,ok,17.926833010278642,40.828125
1 hour,3600,3313,persistent_core,138 nodes,ok,39.75441702641547,35.078125
6 hours,21600,729,span_core,max core = 0,ok,3.137792053166777,34.203125
6 hours,21600,729,dense_core,0 nodes,ok,49.89258397836238,34.421875
6 hours,21600,729,stable_core,856 cores,ok,15.232541016303003,39.03125
6 hours,21600,729,persistent_core,564 nodes,ok,14.9474170175381,34.890625
12 hours,43200,380,span_core,max core = 0,ok,3.1321250135079026,34.21875
12 hours,43200,380,dense_core,272 nodes,ok,22.563040954992175,34.359375
12 hours,43200,380,stable_core,820 cores,ok,14.309999998658895,38.546875
12 hours,43200,380,persistent_core,745 nodes,ok,10.849500016774982,34.71875
1 day,86400,192,span_core,max core = 0,ok,3.090791986323893,34.078125
1 day,86400,192,dense_core,401 nodes,ok,11.930292006582022,34.34375
1 day,86400,192,stable_core,767 cores,ok,12.805750011466444,37.859375
1 day,86400,192,persistent_core,879 nodes,ok,8.398166974075139,34.5625
7 days,604800,28,span_core,max core = 0,ok,3.024042001925409,34.171875
7 days,604800,28,dense_core,687 nodes,ok,4.528667021077126,34.453125
7 days,604800,28,stable_core,290 cores,ok,9.695874992758036,36.3125
7 days,604800,28,persistent_core,1112 nodes,ok,5.250082991551608,33.953125
